"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Renata Glasc","Support",17,"21.5%","39.2%","60.8%","82%","24%",11,25,176,7.5,"77.6%","16.1%","41%",139,48,-4.9,0.9,"2.7%",173,"7.6%","10.3%",2.22,0.4
"Renekton","Top",23,"29.1%","15.2%","44.3%","39%","43%",43,59,83,2.1,"49.4%","21.4%","9%",213,211,9,8.3,"24.5%",432,"21.3%","21.8%",0.37,0.21
"Rumble","Top",20,"25.3%","58.2%","83.5%","70%","0%",68,51,134,4,"67.6%","25.5%","20%",228,161,6.8,7.7,"21.4%",650,"29.6%","20.9%",0.45,0.08
"Ryze","Top",1,"1.3%","0.0%","1.3%","100%","100%",4,1,9,13,"86.7%","11.1%","0%",130,-179,6,8.8,"22.7%",525,"30.0%","22.2%",0.52,0.2
"Sejuani","Jungle",17,"21.5%","15.2%","36.7%","53%","71%",28,38,119,3.9,"70.0%","19.7%","47%",109,-23,0.1,5.2,"13.6%",276,"13.4%","16.5%",0.37,0.35
"Senna","ADC",6,"7.6%","3.8%","15.2%","67%","100%",16,7,47,9,"75.9%","17.5%","17%",-282,-452,-71.5,1.8,"7.8%",566,"26.1%","15.9%",1.31,0.54
"Senna","Support",3,"3.8%","3.8%","15.2%","67%","67%",6,5,25,6.2,"91.2%","21.7%","0%",228,437,-4.7,1.1,"4.9%",322,"16.8%","13.9%",1.9,0.76
"Sett","Support",1,"1.3%","0.0%","1.3%","0%","100%",0,5,1,0.2,"20.0%","22.7%","0%",-138,239,3,1.9,"5.1%",164,"10.2%","8.4%",1.51,0.53
"Sivir","ADC",5,"6.3%","2.5%","8.9%","60%","100%",23,9,29,5.8,"76.5%","16.4%","20%",-24,71,2.6,10,"31.7%",572,"27.3%","26.9%",0.46,0.21
"Soraka","Support",1,"1.3%","0.0%","1.3%","0%","100%",0,6,2,0.3,"40.0%","31.6%","0%",-650,268,-12,0.3,"1.3%",191,"10.9%","7.7%",0.97,0.28
"Sylas","Middle",12,"15.2%","16.5%","31.6%","75%","67%",47,22,71,5.4,"65.9%","19.5%","17%",-128,-166,-6.3,8.4,"26.1%",511,"22.2%","24.3%",0.28,0.22
"Syndra","Middle",14,"17.7%","8.9%","26.6%","21%","64%",39,49,38,1.6,"62.6%","24.4%","21%",53,16,4.6,8.3,"24.0%",577,"31.9%","24.1%",0.46,0.21
"Tahm Kench","Support",9,"11.4%","1.3%","12.7%","56%","56%",5,14,72,5.5,"67.0%","17.5%","22%",519,527,39,4.3,"11.2%",187,"8.8%","13.7%",1,0.29
"Taliyah","Jungle",4,"5.1%","12.7%","29.1%","25%","25%",12,14,11,1.6,"71.9%","24.6%","0%",-171,250,11.5,6.8,"19.6%",555,"33.6%","23.4%",0.45,0.27
"Taliyah","Middle",9,"11.4%","12.7%","29.1%","44%","78%",23,27,64,3.2,"70.7%","21.8%","11%",-344,-339,-9.3,8.4,"26.4%",589,"26.5%","22.1%",0.45,0.19
"Thresh","Support",1,"1.3%","0.0%","1.3%","0%","0%",1,2,2,1.5,"37.5%","13.3%","100%",463,-264,-3,1.2,"2.7%",112,"6.2%","10.3%",1.37,0.49
"Tristana","ADC",3,"3.8%","5.1%","11.4%","67%","100%",9,5,19,5.6,"80.0%","17.9%","33%",80,202,-4,10.2,"31.1%",772,"32.6%","27.3%",0.38,0.41
"Tristana","Middle",2,"2.5%","5.1%","11.4%","50%","100%",7,10,10,1.7,"85.0%","35.7%","50%",274,13,2,9.2,"27.3%",683,"27.2%","28.5%",0.27,0.5
"Varus","ADC",8,"10.1%","3.8%","13.9%","63%","63%",28,12,28,4.7,"57.1%","14.8%","13%",-185,50,4.9,9,"28.9%",681,"27.8%","24.7%",0.52,0.33
"Vex","Middle",1,"1.3%","0.0%","1.3%","100%","100%",2,2,12,7,"73.7%","28.6%","100%",872,384,10,8.5,"20.4%",833,"26.8%","20.8%",0.24,0.37
"Vi","Jungle",24,"30.4%","21.5%","51.9%","33%","33%",69,67,136,3.1,"70.4%","20.2%","33%",-18,95,0,6,"17.9%",293,"13.7%","19.5%",0.34,0.3
"Viego","Jungle",6,"7.6%","10.1%","17.7%","50%","100%",9,14,32,2.9,"61.2%","16.7%","33%",144,197,4.2,6.1,"18.0%",240,"12.4%","18.9%",0.4,0.51
"Volibear","Top",1,"1.3%","0.0%","1.3%","0%","100%",0,3,1,0.3,"16.7%","16.7%","0%",-744,-1158,-28,7.1,"25.7%",205,"15.3%","18.3%",0.37,0
"Wukong","Jungle",6,"7.6%","8.9%","16.5%","67%","83%",19,13,37,4.3,"72.7%","28.3%","33%",-40,3,-1.5,6.1,"16.7%",381,"18.9%","20.0%",0.29,0.36
"Xayah","ADC",27,"34.2%","53.2%","87.3%","67%","7%",116,38,130,6.5,"61.8%","13.7%","11%",-6,-48,-0.8,10.3,"33.6%",596,"27.5%","26.4%",0.42,0.33
"Yasuo","-",0,"0%","1.3%","1.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Yone","Middle",3,"3.8%","7.6%","15.2%","67%","67%",11,9,11,2.4,"46.8%","25.7%","33%",-16,-102,-6.3,9.6,"29.7%",501,"21.8%","24.1%",0.22,0.19
"Yone","Top",3,"3.8%","7.6%","15.2%","100%","100%",12,6,18,5,"53.6%","17.6%","0%",112,-85,12,9.5,"30.1%",683,"25.9%","24.1%",0.38,0.13
"Zac","Jungle",1,"1.3%","0.0%","1.3%","0%","100%",1,4,3,1,"40.0%","20.0%","0%",30,-46,-6,4.3,"10.6%",291,"13.7%","13.7%",0.51,0.35
"Zeri","ADC",11,"13.9%","7.6%","21.5%","45%","82%",41,18,42,4.6,"72.2%","12.9%","0%",-10,-29,4.2,10.5,"34.3%",504,"25.6%","28.6%",0.43,0.46
"Ziggs","ADC",1,"1.3%","7.6%","8.9%","0%","100%",1,4,1,0.5,"50.0%","25.0%","0%",48,288,11,8.8,"26.5%",946,"39.2%","23.0%",0.5,0.09
